Time,[Mb/s]
2019-12-19T10:06:02.056307,10080
2019-12-19T10:06:03.057497,10429
2019-12-19T10:06:04.058762,9459
2019-12-19T10:06:05.060009,9943
2019-12-19T10:06:06.061336,9766
2019-12-19T10:06:07.062580,10155
2019-12-19T10:06:08.063166,10277
2019-12-19T10:06:09.064484,9833
2019-12-19T10:06:10.065807,10213
2019-12-19T10:06:11.067094,9802
2019-12-19T10:06:12.068465,10183
2019-12-19T10:06:13.069791,10004
2019-12-19T10:06:14.070975,9691
2019-12-19T10:06:15.072497,9687
2019-12-19T10:06:16.073810,8521
2019-12-19T10:06:17.075087,2902
2019-12-19T10:06:18.076439,2939
2019-12-19T10:06:19.077656,3041
2019-12-19T10:06:20.078933,3055
2019-12-19T10:06:21.080153,2996
2019-12-19T10:06:22.081432,2889
2019-12-19T10:06:23.082748,2884
2019-12-19T10:06:24.083176,2970
2019-12-19T10:06:25.084467,2879
2019-12-19T10:06:26.085825,2795
2019-12-19T10:06:27.087090,2974
2019-12-19T10:06:28.088408,2919
2019-12-19T10:06:29.089704,2988
2019-12-19T10:06:30.090973,3065
2019-12-19T10:06:31.092325,2940
2019-12-19T10:06:32.093654,1976
2019-12-19T10:06:33.095404,1871
2019-12-19T10:06:34.096727,1918
2019-12-19T10:06:35.098008,1978
2019-12-19T10:06:36.100565,1885
2019-12-19T10:06:37.101941,1910
2019-12-19T10:06:38.103435,1847
2019-12-19T10:06:39.105150,1862
2019-12-19T10:06:40.106626,1839
2019-12-19T10:06:41.107923,1896
2019-12-19T10:06:42.109405,1904
2019-12-19T10:06:43.110707,1922
2019-12-19T10:06:44.112292,1860
2019-12-19T10:06:45.113766,1912
2019-12-19T10:06:46.115185,1909
2019-12-19T10:06:47.116512,1873
2019-12-19T10:06:48.117851,1866
2019-12-19T10:06:49.119427,1915
2019-12-19T10:06:50.120710,1955
2019-12-19T10:06:51.122229,1872
2019-12-19T10:06:52.123566,181
